if numbers are 0, that is GOOD, that means HDLsimulation and Matlab results are identical as they should be
524288 524288 786432 786432 786432 786432 1048576 1048576 1048576 0 0 0 0 262144 262144 262144 262144 524288 524288 
524288 524288 524288 786432 786432 786432 786432 1048576 1048576 1048576 0 0 0 0 262144 262144 262144 262144 524288 
524288 524288 524288 524288 786432 786432 786432 786432 1048576 1048576 1048576 0 0 0 0 262144 262144 262144 262144 
262144 524288 524288 524288 524288 786432 786432 786432 786432 1048576 1048576 1048576 0 0 0 0 262144 262144 262144 
262144 262144 524288 524288 524288 524288 786432 786432 786432 786432 1048576 1048576 1048576 0 0 0 0 262144 262144 
262144 262144 262144 524288 524288 524288 524288 786432 786432 786432 1048576 1048576 1048576 1048576 0 0 0 0 262144 
262144 262144 262144 262144 524288 524288 524288 786432 786432 786432 786432 1048576 1048576 1048576 1048576 0 0 0 0 
0 262144 262144 262144 262144 524288 524288 524288 786432 786432 786432 786432 1048576 1048576 1048576 1048576 0 0 0 
0 0 262144 262144 262144 524288 524288 524288 524288 786432 786432 786432 786432 1048576 1048576 1048576 1048576 0 0 
0 0 0 262144 262144 262144 524288 524288 524288 524288 786432 786432 786432 786432 1048576 1048576 1048576 1048576 0 
RESULT of Pt * Gt of Matrix with size 19 X 19


8650752 24903680 41156608 57671680 73924608 90177536 106430464 122945536 139198464 155451392 171704320 188219392 204472320 220725248 237240320 253493248 269746176 285999104 302514176 
739508224 21233664 61079552 100925440 141033472 180879360 220725248 260571136 300679168 340525056 380370944 420216832 460324864 500170752 540016640 579862528 619970560 659816448 699662336 
1113325568 1176764416 33816576 97255424 160694272 224395264 287834112 351272960 414711808 478412800 541851648 605290496 668729344 732430336 795869184 859308032 922746880 986447872 1049886720 
1439956992 1526988800 1614020608 46399488 133431296 220725248 307757056 394788864 481820672 568852480 656146432 743178240 830210048 917241856 1004535808 1091567616 1178599424 1265631232 1352663040 
1719140352 1829765120 1940652032 2051276800 58982400 169607168 280494080 391118848 501743616 612368384 722993152 833880064 944504832 1055129600 1165754368 1276379136 1387266048 1497890816 1608515584 
1951399936 2085617664 2219835392 2354053120 2488532992 71565312 206045184 340262912 474480640 608698368 742916096 877133824 1011613696 1145831424 1280049152 1414266880 1548484608 1682964480 1817182208 
2136473600 2294284288 2452094976 2609905664 2767716352 2925527040 84410368 242221056 400031744 557842432 715653120 873463808 1031536640 1189347328 1347158016 1504968704 1662779392 1820590080 1978400768 
2274099200 2455764992 2637168640 2818572288 2999975936 3181379584 3362783232 96993280 278396928 459800576 641204224 822607872 1004011520 1185677312 1367080960 1548484608 1729888256 1911291904 2092695552 
2364801024 2569797632 2774794240 2980052992 3185049600 3390046208 3595042816 3800039424 109576192 314572800 519569408 724566016 929562624 1134559232 1339817984 1544814592 1749811200 1954807808 2159804416 
2408316928 2636906496 2865496064 3094085632 3322675200 3551526912 3780116480 4008706048 4237295616 122159104 350748672 579338240 807927808 1036517376 1265369088 1493958656 1722548224 1951137792 2179727360 
2404646912 2656829440 2909011968 3161194496 3413377024 3665559552 3917742080 4170186752 4422369280 4674551808 134742016 386924544 639107072 891289600 1143472128 1395916800 1648099328 1900281856 2152464384 
2353790976 2629566464 2905341952 3181117440 3456892928 3732668416 4008443904 4284219392 4559994880 4835770368 5111808000 147324928 423100416 698875904 974651392 1250689024 1526464512 1802240000 2078015488 
2255749120 2555117568 2854486016 3153854464 3453222912 3752591360 4051959808 4351328256 4650696704 4950065152 5249433600 5548802048 159907840 459276288 758906880 1058275328 1357643776 1657012224 1956380672 
2110521344 2433482752 2756444160 3079405568 3402366976 3725328384 4048289792 4371251200 4694212608 5017174016 5340135424 5663096832 5986058240 172752896 495714304 818675712 1141637120 1464598528 1787559936 
1918107648 2264662016 2611216384 2957770752 3304325120 3650879488 3997433856 4343988224 4690542592 5037096960 5383651328 5730205696 6076760064 6423314432 185335808 531890176 878444544 1224998912 1571553280 
1678508032 2048655360 2418802688 2788950016 3159097344 3529244672 3899392000 4269539328 4639686656 5009833984 5379981312 5750128640 6120275968 6490423296 6860570624 197918720 568066048 938213376 1308360704 
1391722496 1785462784 2179203072 2572943360 2966683648 3360423936 3754164224 4147904512 4541644800 4935385088 5329125376 5722865664 6116605952 6510346240 6904086528 7297826816 210501632 604241920 997982208 
1057751040 1475084288 1892417536 2309750784 2727084032 3144417280 3561750528 3979083776 4396417024 4813750272 5231083520 5648416768 6065750016 6482821120 6900154368 7317487616 7734820864 223084544 640417792 
676593664 1117519872 1558446080 1999372288 2440298496 2881224704 3322150912 3763077120 4204003328 4644929536 5085855744 5526781952 5967446016 6408372224 6849298432 7290224640 7731150848 8172077056 235667456 
RESULT of [PG]t * Gt of Matrix with size 19 X 19


